id,date,group,from,to,x,z,y,direction,idk,funny
2043,2023-11-23 12:23:17,15,nrf5340,raspi,1596,1707,1305,1,0,fuck IT with a stick
2044,2023-11-23 12:23:19,15,nrf5340,raspi,1597,1698,1299,1,0,fuck IT with a stick
2045,2023-11-23 12:23:21,15,nrf5340,raspi,1593,1706,1299,1,0,fuck IT with a stick
2046,2023-11-23 12:23:22,15,nrf5340,raspi,1603,1705,1299,1,0,fuck IT with a stick
2047,2023-11-23 12:23:24,15,nrf5340,raspi,1597,1703,1299,1,0,fuck IT with a stick
2048,2023-11-23 12:23:26,15,nrf5340,raspi,1595,1697,1304,1,0,fuck IT with a stick
2049,2023-11-23 12:23:28,15,nrf5340,raspi,1606,1702,1295,1,0,fuck IT with a stick
2050,2023-11-23 12:23:30,15,nrf5340,raspi,1610,1699,1300,1,0,fuck IT with a stick
2051,2023-11-23 12:23:32,15,nrf5340,raspi,1603,1700,1302,1,0,fuck IT with a stick
2052,2023-11-23 12:23:34,15,nrf5340,raspi,1601,1705,1297,1,0,fuck IT with a stick
2053,2023-11-23 12:23:35,15,nrf5340,raspi,1601,1705,1294,1,0,fuck IT with a stick
2054,2023-11-23 12:23:37,15,nrf5340,raspi,1599,1707,1304,1,0,fuck IT with a stick
2055,2023-11-23 12:23:39,15,nrf5340,raspi,1606,1709,1302,1,0,fuck IT with a stick
2056,2023-11-23 12:23:41,15,nrf5340,raspi,1604,1714,1299,1,0,fuck IT with a stick
2057,2023-11-23 12:23:43,15,nrf5340,raspi,1605,1705,1304,1,0,fuck IT with a stick
2058,2023-11-23 12:23:45,15,nrf5340,raspi,1604,1704,1302,1,0,fuck IT with a stick
2059,2023-11-23 12:23:46,15,nrf5340,raspi,1610,1705,1297,1,0,fuck IT with a stick
2060,2023-11-23 12:23:48,15,nrf5340,raspi,1603,1707,1311,1,0,fuck IT with a stick
2061,2023-11-23 12:23:50,15,nrf5340,raspi,1615,1701,1306,1,0,fuck IT with a stick
2062,2023-11-23 12:23:52,15,nrf5340,raspi,1603,1710,1300,1,0,fuck IT with a stick
2063,2023-11-23 12:23:54,15,nrf5340,raspi,1612,1698,1302,1,0,fuck IT with a stick
2064,2023-11-23 12:23:56,15,nrf5340,raspi,1604,1704,1299,1,0,fuck IT with a stick
2065,2023-11-23 12:23:58,15,nrf5340,raspi,1608,1708,1307,1,0,fuck IT with a stick
2066,2023-11-23 12:24:00,15,nrf5340,raspi,1603,1703,1300,1,0,fuck IT with a stick
2067,2023-11-23 12:24:02,15,nrf5340,raspi,1608,1699,1294,1,0,fuck IT with a stick
2068,2023-11-23 12:24:04,15,nrf5340,raspi,1602,1705,1297,1,0,fuck IT with a stick
2069,2023-11-23 12:24:06,15,nrf5340,raspi,1601,1697,1293,1,0,fuck IT with a stick
2070,2023-11-23 12:24:08,15,nrf5340,raspi,1603,1702,1299,1,0,fuck IT with a stick
2071,2023-11-23 12:24:10,15,nrf5340,raspi,1602,1704,1299,1,0,fuck IT with a stick
2072,2023-11-23 12:24:12,15,nrf5340,raspi,1594,1700,1293,1,0,fuck IT with a stick
2073,2023-11-23 12:24:13,15,nrf5340,raspi,1599,1697,1299,1,0,fuck IT with a stick
2074,2023-11-23 12:24:15,15,nrf5340,raspi,1598,1698,1302,1,0,fuck IT with a stick
2075,2023-11-23 12:24:17,15,nrf5340,raspi,1611,1703,1300,1,0,fuck IT with a stick
2076,2023-11-23 12:24:19,15,nrf5340,raspi,1601,1700,1306,1,0,fuck IT with a stick
2077,2023-11-23 12:24:21,15,nrf5340,raspi,1613,1705,1301,1,0,fuck IT with a stick
2078,2023-11-23 12:24:23,15,nrf5340,raspi,1610,1693,1293,1,0,fuck IT with a stick
2079,2023-11-23 12:24:25,15,nrf5340,raspi,1606,1689,1301,1,0,fuck IT with a stick
2080,2023-11-23 12:24:27,15,nrf5340,raspi,1611,1684,1291,1,0,fuck IT with a stick
2081,2023-11-23 12:24:29,15,nrf5340,raspi,1606,1698,1288,1,0,fuck IT with a stick
2082,2023-11-23 12:24:30,15,nrf5340,raspi,1614,1693,1311,1,0,fuck IT with a stick
2083,2023-11-23 12:24:32,15,nrf5340,raspi,1612,1697,1293,1,0,fuck IT with a stick
2084,2023-11-23 12:24:34,15,nrf5340,raspi,1604,1699,1300,1,0,fuck IT with a stick
2085,2023-11-23 12:24:36,15,nrf5340,raspi,1616,1700,1302,1,0,fuck IT with a stick
2086,2023-11-23 12:24:38,15,nrf5340,raspi,1609,1705,1306,1,0,fuck IT with a stick
2087,2023-11-23 12:24:40,15,nrf5340,raspi,1609,1699,1290,1,0,fuck IT with a stick
2088,2023-11-23 12:24:42,15,nrf5340,raspi,1629,1711,1296,1,0,fuck IT with a stick
2089,2023-11-23 12:24:43,15,nrf5340,raspi,1623,1703,1295,1,0,fuck IT with a stick
2090,2023-11-23 12:24:45,15,nrf5340,raspi,1614,1698,1297,1,0,fuck IT with a stick
2091,2023-11-23 12:24:47,15,nrf5340,raspi,1613,1698,1299,1,0,fuck IT with a stick
2092,2023-11-23 12:24:49,15,nrf5340,raspi,1620,1705,1291,1,0,fuck IT with a stick
2093,2023-11-23 12:25:45,15,nrf5340,raspi,1609,2021,1602,2,0,fuck IT with a stick
2094,2023-11-23 12:25:47,15,nrf5340,raspi,1605,2019,1606,2,0,fuck IT with a stick
2095,2023-11-23 12:25:49,15,nrf5340,raspi,1612,2020,1603,2,0,fuck IT with a stick
2096,2023-11-23 12:25:51,15,nrf5340,raspi,1610,2017,1597,2,0,fuck IT with a stick
2097,2023-11-23 12:25:53,15,nrf5340,raspi,1611,2020,1601,2,0,fuck IT with a stick
